"doc","language"
"הם נותנים בתום אמון.","heb"
"Tienes que llamar a tus padres más seguido.","spa"
"I didn't take the threat seriously.","eng"
"Je ne pensais pas à mal.","fra"
"Том поцілував руку Мері.","ukr"
"We're waiting to talk to them.","eng"
"לדעתי הוא זכאי.","heb"
"Как тебе не совестно?","rus"
"O gerçekten mümkün görünmüyor.","tur"
"Я не думал, что вы так рассердитесь.","rus"
"Elles aimaient le vin.","fra"
"Weil es sehr kalt war, blieben sie zu Hause.","deu"
"Δεν ονειρεύομαι.","ell"
"W tym czasie byłem w Kanadzie.","pol"
"Положитесь на меня.","rus"
"我隻右眼咩都睇唔到。","yue"
"Интернет в Бразилии совсем не дешёвый.","rus"
"Non mi è successo niente.","ita"
"Der Name von Toms Ehefrau ist Mary und der Name seines Sohnes ist Horace.","deu"
"Her fingers hooked around a juniper trunk, and with her other hand she reached high and found purchase among the stone knobs at the top.","eng"
"Ты не мог бы закрыть за собой дверь?","rus"
"Gökyüzü aniden bulutlandı.","tur"
"I think it was a mistake that you didn't take my advice.","eng"
"Всё началось с его необдуманного высказывания.","rus"
"Both Tom and Mary teach at the same school.","eng"
"They might tell us the truth.","eng"
"Tom usa fio dental todos os dias.","por"
"Lei ha dei bei capelli.","ita"
"Tom glielo spiegherà.","ita"
"Ik weet wel iets af van scheikunde.","nld"
"It is because you are lazy that you cannot write your report.","eng"
"Это было излишне.","rus"
"I need someone I can trust.","eng"
"Könntest du diese drei Dinge auf dem Zettel hier für unser Essen einkaufen?","deu"
"Mi ege estas ebria.","epo"
"Zumindest haben sie mir zugehört.","deu"
"Tom, Mary'ye neyin yapılmayacağını söyledi.","tur"
"C'était délibéré.","fra"
"Yezmer lḥal ad tilim tesɛam lḥeqq.","ber"
"Li estas tre fama.","epo"
"Night coming on, the boys went home.","eng"
"Tom est chez Mary.","fra"
"Crime is increasing.","eng"
"li re pi'i ze pi'i papa pi'i paci su'i vo du li renonoxa","jbo"
"I'm afraid Tom will lose.","eng"
"Ни одна из нас не хочет этого.","rus"
"У тебя лоб очень горячий; полагаю, у тебя температура.","rus"
"Cuéntame sobre el incidente.","spa"
"この店の名物料理はありますか。","jpn"
"Мне никто не звонил.","rus"
"Сколько рыбы ты поймал?","rus"
"Dette skilt siger: ""Fodr ikke dyrene!""","dan"
"Aimes-tu la mienne ?","fra"
"胃口怎么样？想不想吐？","cmn"
"Tout le monde continue de sourire.","fra"
"Le voy a informar, cuando vaya a estar en casa.","spa"
"Mama szuka opiekunki do dziecka.","pol"
"Perché non pranzi con Tom?","ita"
"Velen dragen hun kruis blijmoedig.","nld"
"When the letter arrived, I opened it.","eng"
"Creo que he encontrado uno.","spa"
"Mag geschehen, was will – aber morgen werde ich es ihm heimzahlen.","deu"
"Пододвиньте стол к окну.","rus"
"У меня не так много денег, как вы думаете.","rus"
"A legutolsó divat szerint öltözik.","hun"
"She taught me so many interesting things.","eng"
"It's not a volunteer position.","eng"
"Two tickets to Boston.","eng"
"Is something supposed to be happening here?","eng"
"彼を有罪とするのに十分な証拠がなかった。","jpn"
"Lliɣ ttifliweɣ.","ber"
"Gli animali agiscono secondo i loro istinti.","ita"
"La kelnero alportas la kafojn al la tablo de la klientoj.","epo"
"Ĉiuj amas Makon.","epo"
"Du kannst losgehen.","deu"
"Él tiene dos tías de parte materna.","spa"
"Tom reluctantly agreed that he wouldn't tell Mary.","eng"
"Ella Fitzgerald ne söyledi?","tur"
"¡Tenés razón! No lo había pensado.","spa"
"I read this in the newspaper.","eng"
"Où vis-tu exactement ?","fra"
"Uh, rniɣ s sin n yikiluten. Yessefk ad ḥebseɣ ucci n tanalin.","ber"
"Tu ne disposes pas de suffisamment d'expérience.","fra"
"Kiel ni arestu Tomon?","epo"
"Ce n'est pas comme ça que je veux que les choses soient.","fra"
